"Name","Category","Price","Currency","Description","Available"
"Bhapa Pitha","Frozen Snack",7.99,"CAD","550 gm","1"
"Chanar Sandesh","Frozen Snack",24.99,"CAD","1000 gm","1"
"Chitol Pitha","Frozen Snack",7.99,"CAD",NA,"1"
"Chomchom","Frozen Snack",21.99,"CAD","Origin Bangladesh","1"
"Khirer Chomchom","Frozen Snack",21.99,"CAD","1000 gm","1"
"Nokshi Pitha","Frozen Snack",10.99,"CAD","600 gm","0"
"Nun Gora","Frozen Snack",8.99,"CAD","800 gm","1"
"Puli Pitha","Frozen Snack",8.99,"CAD","500 gm","1"
"Roshgollah","Frozen Snack",21.99,"CAD",NA,"1"
"Roshmalai","Frozen Snack",21.99,"CAD","Origin : Bangladesh","1"
"Shahi Mughlai Paratha","Frozen Snack",6.99,"CAD","400 gm","0"
"Sweet Curd","Frozen Snack",21.99,"CAD","1000 gm","1"
"Sylhety Bakor Khani","Frozen Snack",7.99,"CAD","300 gm","1"
"Bitiku (Frozen)","Frozen Vegetables",5.99,"CAD","500g","1"
"Chalta (Elephant Apple) Cut","Frozen Vegetables",3.99,"CAD","300g","1"
"Green Bean Seeds","Frozen Vegetables",3.99,"CAD","300g","0"
"Green Data","Frozen Vegetables",3.99,"CAD","300g","1"
"Green Kachur Lati (Taro) (Thin)","Frozen Vegetables",3.99,"CAD","300g","1"
"Green Kakrol (Teasle gourd ) 4 Cut","Frozen Vegetables",3.99,"CAD","300g","1"
"Green Korolla (Bitter Gourd) Slice","Frozen Vegetables",3.99,"CAD","300g","1"
"Green Olive","Frozen Vegetables",3.99,"CAD","300g","1"
"Green Potol (Palwal) (Clean  slice)½ slice)","Frozen Vegetables",3.99,"CAD","300g","1"
"Jack Fruit Seeds (Clean  slice)½ slice)","Frozen Vegetables",3.99,"CAD","300g","1"
"Kodbel ( Wood Apple) Whole","Frozen Vegetables",4.99,"CAD","500g","1"
"Lal Shak","Frozen Vegetables",4.99,"CAD","300g","1"
"Matembele (Frozen)","Frozen Vegetables",5.99,"CAD","500g","1"
"Ngai Ngai (Frozen)","Frozen Vegetables",5.99,"CAD","500g","1"
"Okra  (Frozen)","Frozen Vegetables",2.99,"CAD","250g","1"
"Pondu (Frozen)","Frozen Vegetables",5.99,"CAD","1 Kg","1"
"Shredded Coconut","Frozen Vegetables",3.99,"CAD","300g","1"
"Spinach  (Frozen)","Frozen Vegetables",5.49,"CAD","900g","1"
"White Kachur Mukhi (Eddoe)","Frozen Vegetables",3.99,"CAD","300g","1"
"Cassava","Fruits & Vegetables",2.99,"CAD","Per lbs","1"
"Corriander leaf","Fruits & Vegetables",2.99,"CAD","1 Bunch","1"
"Garlic","Fruits & Vegetables",1.99,"CAD","3 Pcs Pack","1"
"Ginger","Fruits & Vegetables",3.99,"CAD","Per lbs","1"
"Green Chilli","Fruits & Vegetables",7.99,"CAD","Per lbs","1"
"Green Mango","Fruits & Vegetables",3.99,"CAD","Per lbs","1"
"Green Papaya","Fruits & Vegetables",5.99,"CAD","1.5-2 lbs","1"
"Jamican Hot Pepper","Fruits & Vegetables",7.99,"CAD","Per lbs","1"
"Long Egg Plant","Fruits & Vegetables",3.99,"CAD","Per lbs","1"
"Mint leaf","Fruits & Vegetables",1.99,"CAD","1 Bunch","0"
"Okra Indian","Fruits & Vegetables",6.99,"CAD","Per lbs","1"
"Onion","Fruits & Vegetables",7.99,"CAD","10 lbs Bag","1"
"Onion","Fruits & Vegetables",2.99,"CAD","2 lbs bag","1"
"Pan","Fruits & Vegetables",21.99,"CAD","Per lbs","1"
"Pan 20Pcs","Fruits & Vegetables",3,"CAD","20 pcs","1"
"Potato","Fruits & Vegetables",6.99,"CAD","10 lbs Bag","1"
"Tomatoes","Fruits & Vegetables",2.99,"CAD","Per lbs","1"
