"single_product_name","single_product_category","single_product_price","single_product_currency","single_product_discription","single_product_availability"
"Green Bean Seeds","Frozen Vegetables","3.99","CAD","300g","no"
"Green Data","Frozen Vegetables","3.99","CAD","300g","yes"
"Green Kachur Lati (Taro) (Thin)","Frozen Vegetables","3.99","CAD","300g","yes"
"Green Kakrol (Teasle gourd ) 4 Cut","Frozen Vegetables","3.99","CAD","300g","yes"
"Green Korolla (Bitter Gourd) Slice","Frozen Vegetables","3.99","CAD","300g","yes"
"Green Olive","Frozen Vegetables","3.99","CAD","300g","yes"
"Green Potol (Palwal) (Clean  slice)½ slice)","Frozen Vegetables","3.99","CAD","300g","yes"
"Jack Fruit Seeds (Clean  slice)½ slice)","Frozen Vegetables","3.99","CAD","300g","yes"
"Kodbel ( Wood Apple) Whole","Frozen Vegetables","4.99","CAD","500g","yes"
"Lal Shak","Frozen Vegetables","4.99","CAD","300g","yes"
"Matembele (Frozen)","Frozen Vegetables","5.99","CAD","500g","yes"
"Ngai Ngai (Frozen)","Frozen Vegetables","5.99","CAD","500g","yes"
"Okra  (Frozen)","Frozen Vegetables","2.99","CAD","250g","yes"
"Pondu (Frozen)","Frozen Vegetables","5.99","CAD","1 Kg","yes"
"Shredded Coconut","Frozen Vegetables","3.99","CAD","300g","yes"
"Spinach  (Frozen)","Frozen Vegetables","5.49","CAD","900g","yes"
"White Kachur Mukhi (Eddoe)","Frozen Vegetables","3.99","CAD","300g","yes"
"Cassava","Fruits & Vegetables","2.99","CAD","Per lbs","yes"
"Corriander leaf","Fruits & Vegetables","2.99","CAD","1 Bunch","yes"
"Garlic","Fruits & Vegetables","1.99","CAD","3 Pcs Pack","yes"
"Ginger","Fruits & Vegetables","3.99","CAD","Per lbs","yes"
"Green Chilli","Fruits & Vegetables","7.99","CAD","Per lbs","yes"
"Green Mango","Fruits & Vegetables","3.99","CAD","Per lbs","yes"
"Green Papaya","Fruits & Vegetables","5.99","CAD","1.5-2 lbs","yes"
"Jamican Hot Pepper","Fruits & Vegetables","7.99","CAD","Per lbs","yes"
"Long Egg Plant","Fruits & Vegetables","3.99","CAD","Per lbs","yes"
"Mint leaf","Fruits & Vegetables","1.99","CAD","1 Bunch","no"
"Okra Indian","Fruits & Vegetables","6.99","CAD","Per lbs","yes"
"Onion","Fruits & Vegetables","7.99","CAD","10 lbs Bag","yes"
"Onion","Fruits & Vegetables","2.99","CAD","2 lbs bag","yes"
"Pan","Fruits & Vegetables","21.99","CAD","Per lbs","yes"
"Pan 20Pcs","Fruits & Vegetables","3.00","CAD","20 pcs","yes"
"Potato","Fruits & Vegetables","6.99","CAD","10 lbs Bag","yes"
"Tomatoes","Fruits & Vegetables","2.99","CAD","Per lbs","yes"
"Yellow Plantain","Fruits & Vegetables","1.49","CAD","Per lbs","yes"
"Agushi(Melon powder)","Grocery","7.99","CAD","300g","yes"
"Cedar Harissa","Grocery","3.99","CAD","425ml","yes"
"Cedar Honey","Grocery","14.99","CAD","1kg","yes"
"Chunk Light Tuna in oil","Grocery","1.99","CAD","170g","yes"
"Chunk Light Tuna in water","Grocery","1.99","CAD","170g","yes"
"Coconut Milk In Can","Grocery","2.99","CAD","400ml","yes"
"Condensed Milk","Grocery","4.99","CAD","300ml","yes"
"Corn Porridge","Grocery","6.99","CAD","1kg","yes"
"Corn Starch","Grocery","2.99","CAD","400g","yes"
"Dal Kumro Bori","Grocery","5.99","CAD",NA,"yes"
